Year,Month,DayofMonth,DayOfWeek,FlightDate,IATA_CODE_Reporting_Airline,Origin,OriginCityName,OriginStateName,OriginWac,Dest,DestCityName,DestStateName,DestWac,CRSDepTime,DepDelay,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Flights,Distance,DistanceGroup
2018,9,8,6,2018-09-08,UA,ORD,"Chicago, IL",Illinois,41,MIA,"Miami, FL",Florida,33,1402,1.0,0.0,0.0,1400-1459,25.0,1806,11.0,0.0,0.0,1800-1859,1.0,1197.0,5
2018,9,30,7,2018-09-30,B6,JFK,"New York, NY",New York,22,JAX,"Jacksonville, FL",Florida,33,801,0.0,0.0,-1.0,0800-0859,24.0,1033,0.0,0.0,-1.0,1000-1059,1.0,828.0,4
2018,9,28,5,2018-09-28,NK,FLL,"Fort Lauderdale, FL",Florida,33,EWR,"Newark, NJ",New Jersey,21,2055,0.0,0.0,0.0,2000-2059,13.0,2347,0.0,0.0,-1.0,2300-2359,1.0,1065.0,5
2018,9,6,4,2018-09-06,AS,SFO,"San Francisco, CA",California,91,DAL,"Dallas, TX",Texas,74,620,0.0,0.0,-1.0,0600-0659,19.0,1150,0.0,0.0,-1.0,1100-1159,1.0,1476.0,6
2018,9,9,7,2018-09-09,DL,JFK,"New York, NY",New York,22,TPA,"Tampa, FL",Florida,33,1925,89.0,1.0,5.0,1900-1959,15.0,2248,41.0,1.0,2.0,2200-2259,1.0,1005.0,5
2018,9,23,7,2018-09-23,AS,SEA,"Seattle, WA",Washington,93,PSP,"Palm Springs, CA",California,91,1400,20.0,1.0,1.0,1400-1459,21.0,1647,6.0,0.0,0.0,1600-1659,1.0,987.0,4
2018,9,3,1,2018-09-03,AA,MIA,"Miami, FL",Florida,33,LAX,"Los Angeles, CA",California,91,1425,12.0,0.0,0.0,1400-1459,10.0,1654,0.0,0.0,-1.0,1600-1659,1.0,2342.0,10
2018,9,28,5,2018-09-28,EV,EWR,"Newark, NJ",New Jersey,21,DCA,"Washington, DC",Virginia,38,1700,0.0,0.0,-1.0,1700-1759,16.0,1818,0.0,0.0,-2.0,1800-1859,1.0,199.0,1
2018,9,24,1,2018-09-24,AA,IAD,"Washington, DC",Virginia,38,MIA,"Miami, FL",Florida,33,1905,0.0,0.0,-1.0,1900-1959,14.0,2155,0.0,0.0,-2.0,2100-2159,1.0,921.0,4
2018,9,15,6,2018-09-15,MQ,CLE,"Cleveland, OH",Ohio,44,MIA,"Miami, FL",Florida,33,600,0.0,0.0,-1.0,0600-0659,25.0,900,0.0,0.0,-1.0,0900-0959,1.0,1080.0,5
