Year,Month,DayofMonth,DayOfWeek,FlightDate,IATA_CODE_Reporting_Airline,Origin,OriginCityName,OriginStateName,Dest,DestCityName,DestStateName,CRSDepTime,DepDelay,DepDel15,DepTimeBlk,TaxiOut,ArrTimeBlk,Flights,Distance,Day Average Temp,High Temp,Low Temp,Max Wind Speed,Precipitation,Sea Level Pressure
2016,1,20,3,2016-01-20,WN,ORF,"Norfolk, VA",Virginia,BWI,"Baltimore, MD",Maryland,1000,-7.0,0.0,1000-1059,10.0,1100-1159,1.0,159.0,,,,,,
2016,1,6,3,2016-01-06,OO,TUS,"Tucson, AZ",Arizona,SFO,"San Francisco, CA",California,1250,,,1200-1259,,1400-1459,1.0,751.0,,,,,,
2016,1,10,7,2016-01-10,OO,BHM,"Birmingham, AL",Alabama,IAH,"Houston, TX",Texas,600,1.0,0.0,0600-0659,24.0,0800-0859,1.0,562.0,,,,,,
2016,1,23,6,2016-01-23,WN,SAT,"San Antonio, TX",Texas,DAL,"Dallas, TX",Texas,1645,-7.0,0.0,1600-1659,8.0,1700-1759,1.0,248.0,,,,,,
2016,1,27,3,2016-01-27,DL,ATL,"Atlanta, GA",Georgia,BOS,"Boston, MA",Massachusetts,735,-3.0,0.0,0700-0759,21.0,1000-1059,1.0,946.0,45.2,50.0,39.0,14.0,0.22,29.03
2016,1,12,2,2016-01-12,WN,DAL,"Dallas, TX",Texas,SNA,"Santa Ana, CA",California,1800,30.0,1.0,1800-1859,12.0,1900-1959,1.0,1216.0,46.88,62.0,36.0,7.0,,29.79
2016,1,26,2,2016-01-26,WN,PIT,"Pittsburgh, PA",Pennsylvania,PHX,"Phoenix, AZ",Arizona,1330,23.0,1.0,1300-1359,8.0,1600-1659,1.0,1814.0,,,,,,
2016,1,11,1,2016-01-11,B6,BOS,"Boston, MA",Massachusetts,STT,"Charlotte Amalie, VI",U.S. Virgin Islands,840,45.0,1.0,0800-0859,23.0,1300-1359,1.0,1693.0,33.83,49.0,25.0,26.0,,30.06
2016,1,7,4,2016-01-07,OO,SFO,"San Francisco, CA",California,BOI,"Boise, ID",Idaho,1051,-4.0,0.0,1000-1059,33.0,1300-1359,1.0,522.0,,,,,,
2016,1,4,1,2016-01-04,AA,PHL,"Philadelphia, PA",Pennsylvania,FLL,"Fort Lauderdale, FL",Florida,2045,-6.0,0.0,2000-2059,19.0,2300-2359,1.0,992.0,,,,,,
2016,1,9,6,2016-01-09,WN,ORF,"Norfolk, VA",Virginia,MDW,"Chicago, IL",Illinois,635,-1.0,0.0,0600-0659,14.0,0700-0759,1.0,704.0,,,,,,
2016,1,15,5,2016-01-15,EV,DTW,"Detroit, MI",Michigan,PWM,"Portland, ME",Maine,2150,16.0,1.0,2100-2159,18.0,2300-2359,1.0,668.0,,,,,,
2016,1,13,3,2016-01-13,AS,FAI,"Fairbanks, AK",Alaska,SEA,"Seattle, WA",Washington,1745,-8.0,0.0,1700-1759,27.0,2200-2259,1.0,1533.0,,,,,,
2016,1,14,4,2016-01-14,WN,FLL,"Fort Lauderdale, FL",Florida,MDW,"Chicago, IL",Illinois,1215,-2.0,0.0,1200-1259,18.0,1400-1459,1.0,1167.0,67.93,73.0,62.0,18.0,,30.14
2016,1,9,6,2016-01-09,DL,ATL,"Atlanta, GA",Georgia,DAB,"Daytona Beach, FL",Florida,939,-1.0,0.0,0900-0959,11.0,1000-1059,1.0,366.0,49.47,51.0,48.0,14.0,,28.9
2016,1,12,2,2016-01-12,OO,SPI,"Springfield, IL",Illinois,ORD,"Chicago, IL",Illinois,540,-10.0,0.0,0001-0559,22.0,0600-0659,1.0,174.0,,,,,,
2016,1,22,5,2016-01-22,AA,BOS,"Boston, MA",Massachusetts,LGA,"New York, NY",New York,630,-8.0,0.0,0600-0659,21.0,0700-0759,1.0,184.0,,,,,,
2016,1,26,2,2016-01-26,B6,BOS,"Boston, MA",Massachusetts,MCO,"Orlando, FL",Florida,945,12.0,0.0,0900-0959,18.0,1300-1359,1.0,1121.0,,,,,,
2016,1,18,1,2016-01-18,WN,MDW,"Chicago, IL",Illinois,IND,"Indianapolis, IN",Indiana,1650,13.0,0.0,1600-1659,11.0,1800-1859,1.0,162.0,,,,,,
